Designator,Mid X,Mid Y,Rotation,Layer
C1,152.05,-119.75,180.0,top
C10,174.45,-125.92,0.0,top
C14,156.05,-107.75,0.0,top
C15,162.57,-107.75,0.0,top
C2,153.55,-116.25,180.0,top
C3,154.8,-120.0,180.0,top
C4,167.45,-120.5,0.0,top
C5,167.25,-117.0,0.0,top
C6,167.275,-118.8,180.0,top
C7,171.8,-118.75,0.0,top
C8,171.8,-115.5,0.0,top
C9,174.45,-123.95,0.0,top
F1,146.5,-119.5,0.0,top
H1,142.5,-108.75,0.0,top
H2,182.7,-125.0,0.0,top
J1,135.0775,-116.75,270.0,top
J2,185.05,-116.75,270.0,top
R1,173.54,-111.75,0.0,top
R2,164.31,-125.25,0.0,top
R3,167.05,-113.75,180.0,top
R4,153.55,-114.25,0.0,top
R5,165.05,-107.75,0.0,top
R6,142.55,-121.25,0.0,top
R7,145.06,-121.25,0.0,top
U1,160.55,-116.75,0.0,top
Y1,159.45,-108.4,0.0,top
